subject,label,lat,lon,date
http://www.wikidata.org/entity/Q11636595,Battle of Boulogne (1940),50.72638889,1.61472222,22-05-1940
http://www.wikidata.org/entity/Q1164835,Battle of Lagos,37,-8.6667,27-6-1693
http://www.wikidata.org/entity/Q1165440,Battle of Mauron,48.08222222,-2.285833333,14-8-1352
http://www.wikidata.org/entity/Q1172504,Battle of Château-Thierry,49.04194444,3.37194444,28-07-1914
http://www.wikidata.org/entity/Q117298,Battle of Varaville,49.28472222,-0.154444444,22-3-1057
http://www.wikidata.org/entity/Q1174179,Battle of Jassin,-4.681388889,39.18472222,18-01-1915
http://www.wikidata.org/entity/Q1184835,Battle of Numistro,38.975596,16.31979,1-1--217
http://www.wikidata.org/entity/Q1185335,Battle of Weihaiwei,37.497,122.171,20-1-1895
http://www.wikidata.org/entity/Q1187406,Battle of Graus,42.18333333,0.33333333,1-1-1063
http://www.wikidata.org/entity/Q1187461,Battle of Tanagra,38.31666667,23.53333333,1-1--459
http://www.wikidata.org/entity/Q1191854,Battle of Gonzales,29.5089,-97.4478,2-10-1835
http://www.wikidata.org/entity/Q1192053,Battle of Vauchamps,48.8811,3.6164,14-2-1814
http://www.wikidata.org/entity/Q1192118,Battle of Chemulpo Bay,37.34666667,126.5228333,09-02-1904
http://www.wikidata.org/entity/Q1192867,Battle of Pułtusk,52.70833333,21.075,26-12-1806
http://www.wikidata.org/entity/Q1193959,Battle of Toba-Fushimi,35.01666667,135.75,31-1-1868
http://www.wikidata.org/entity/Q1194172,Battle of Novi,44.7617,-8.79056,15-8-1799
http://www.wikidata.org/entity/Q1195263,Battle of Ekeren,51.26666667,4.41666667,30-6-1703
http://www.wikidata.org/entity/Q1196554,Battle of Minorca,39.89,4.35,20-5-1756
http://www.wikidata.org/entity/Q12001343,,60.3925,5.323333333,31-5-1181
http://www.wikidata.org/entity/Q12001347,Battle of Kalmar,56.66666667,16.36666667,17-7-1611
http://www.wikidata.org/entity/Q1208970,Battle of Yingkou,40.66666667,122.2333333,1-8-1894
http://www.wikidata.org/entity/Q1208996,Battle of Lushunkou,38.81666667,121.2333333,1-8-1894
http://www.wikidata.org/entity/Q1209808,Battle of Jiuliancheng,40.171667,124.448056,1-8-1894
http://www.wikidata.org/entity/Q1215310,Battle of San Juan Hill,20.0209106,-75.7961154,25-4-1898
http://www.wikidata.org/entity/Q1219645,Battle of Atapuerca,42.35,-3.51666667,1-9-1054
http://www.wikidata.org/entity/Q12224010,Battle of Menin,50.7956,3.12167,13-9-1793
http://www.wikidata.org/entity/Q1230997,First Battle of Krithia,40.09444444,26.225,28-07-1914
http://www.wikidata.org/entity/Q1241936,Battle of Pákozd,47.22111944,18.54493056,29-9-1848
http://www.wikidata.org/entity/Q1245157,Battle of Loos,50.4583,2.79417,25-09-1915
http://www.wikidata.org/entity/Q1247957,Battle of Trois-Rivières,46.342751,-72.552483,8-6-1776
http://www.wikidata.org/entity/Q1248605,Battle of Beachy Head,50.73743,0.24768,10-7-1690
http://www.wikidata.org/entity/Q1259096,Case White,43.65416667,17.7625,20-01-1943
http://www.wikidata.org/entity/Q1259218,Battle of Panipat,29.39,76.97,14-1-1761
http://www.wikidata.org/entity/Q1259700,Battle of Belchite,41.3,-0.75,24-08-1937
http://www.wikidata.org/entity/Q1260622,Battle of the Axona,49.5,3.5,1-1--57
http://www.wikidata.org/entity/Q12627990,Battle of Kupres (1992),43.9931,17.2763,03-04-1992
http://www.wikidata.org/entity/Q12645601,Battle of Kusonje,45.4624,17.2367,08-09-1991
http://www.wikidata.org/entity/Q1264908,Battle of Chrysopolis,40.01666667,29.03333333,18-9-324
http://www.wikidata.org/entity/Q12651299,Raid on Brandenburg,50.65722222,12.35527778,26-2-1326
http://www.wikidata.org/entity/Q1265750,Battle of Callinicum,35.95,39.01666667,19-4-531
http://www.wikidata.org/entity/Q1267513,Battle of Vosges,48.5,7.5,1-1--57
http://www.wikidata.org/entity/Q1268733,Battle of the Sabis,50.23333333,3.441666667,1-1--57
http://www.wikidata.org/entity/Q1272132,Battle of Stones River,35.88,-86.435,2-1-1863
http://www.wikidata.org/entity/Q127299,Battle of Kolín,50.029,15.122,18-6-1757
http://www.wikidata.org/entity/Q1274566,Battle of the Arar,45.98944444,4.719722222,1-1--57
http://www.wikidata.org/entity/Q12747919,Battle of Ljubić,43.902778,20.355556,24-4-1815
