Address,Country,Coordinates,Address found
"Khuman Lampak Main Stadium, Imphal",in,"24.8226974,93.9523651","Khuman Lampak Stadium Rd, Khuman Lampak, Imphal, Manipur 795001, India"
"Kishore Bharati Krirangan, Jadavpur",in,"22.4941302,88.3943706","B-278, Survey Park Rd, Purba Diganta, Santoshpur, Kolkata, West Bengal 700075, India"
"Lajwanti Stadium, Hoshiarpur",in,"31.5429344,75.9016824","Home of Revolution Football club, Hoshiarpur., Sahibzada Ajit Singh Nagar, Hoshiarpur, Punjab 146001, India"
"Lal Bahadur Shastri Stadium, Hyderabad",in,"17.4002054,78.4710434","11-1-821,New Bhoiguda Road, Seetharambagh, Sharam Bagh, Fateh Maidan, Mallepally, Hyderabad, Telangana 500001, India"
"Lal Bahadur Shastri Stadium, Kollam",in,"8.8833615,76.5989731","Near, Q.A.C.Road, Karbala, Kollam, Kerala 691001, India"
"Lammual Stadium, Aizawl",in,"23.7285324,92.718739","PPH9+CF9, Dawrpui, Aizawl, Mizoram 796001, India"
"Madan Mohan Malviya Stadium, Allahabad",in,"25.4515221,81.84709079999999","George Town, Prayagraj, Uttar Pradesh 211002, India"
"Mahabir Stadium, Hissar",in,"29.1501863,75.717473","5P28+3XH, behind Madhuban Park, Haryana Agricultural University, Hisar, Haryana 125001, India"
"Maharaja College Stadium, Ernakulam",in,"9.9742679,76.283982","PT Usha Rd, Shenoys, Ernakulam, Kerala 682011, India"
"Malappuram District Sports Complex Stadium, Manjeri",in,"11.1006717,76.15475289999999","4523+7W6, Stadium Rd, Manjeri, Kerala 676122, India"
"Mangala Stadium, Mangalore",in,"12.886125,74.8353489","Kulur Ferry Road, Mannagudda, VRPP+C4X, Lalbagh, Mangaluru, Karnataka 575003, India"
"Calicut Medical College Stadium, Kozikode",in,"11.2801034,75.8374489","30/104A, Housing Board Rd, Kozhikode, Kerala 673008, India"
"Mela Ground, Kalimpong",in,"27.0676505,88.47142079999999","Mela Ground, Baghdhara Rd, Strawberry, Kalimpong, West Bengal 734316, India"
"Mohammedan Sporting Ground, Kolkata",in,"22.572646,88.36389500000001","Kolkata, West Bengal, India"
"Mohun Bagan Ground, Maidan (Kolkata)",in,"22.5620619,88.3422875","Gostho Paul Sarani, Maidan, Kolkata, West Bengal 700021, India"
"Mulna Stadium, Balaghat",in,"21.8129329,80.181578","Balaghat, Madhya Pradesh 481001, India"
"Naihati Stadium, Naihati",in,"22.8930625,88.42593749999999","Naihati, Kolkata, West Bengal 743165, India"
"Nehru Maidan, Mangalore",in,"12.862232,74.8388334","Nehru Maidan, Uppinagadi Village, Mangaluru, Karnataka 575001, India"
"Netaji Stadium, Port Blair",in,"11.6697857,92.74607379999999","MP9W+WC8, Rajiv Gandhi Nagar, Port Blair, Andaman and Nicobar Islands 744104, India"
"Nehru Stadium, Durgapur",in,"23.5665808,87.3032199","H883+J7Q, Vidyasagar Ave, B-Zone, Durgapur, West Bengal 713205, India"
"Nehru Stadium, Guwahati",in,"26.1803183,91.75795699999999","Nehru Stadium, 5QJ5+45G, Gandhi Basti, Sarania Hills, Guwahati, Assam 781007, India"
"Oil India Ground, Duliajan",in,"27.3605808,95.325609","Duliajan, Assam 786602, India"
"Paljor Stadium, Gangtok",in,"27.3341502,88.61197059999999","Palzor Stadium Rd, Upper Sichey, Arithang, Gangtok, Sikkim 737101, India"
"Patliputra Sports Complex, Patna",in,"85.0511288,-180","3222+F22, Housing Board Colony, Patrakar Nagar, Patna, Bihar 800020, India"
"Polo Field, Tezpur",in,"26.6309967,92.8006558","JRJ2+97R, Unnamed Road, Mahabhairab, Tezpur, Assam 784001, India"
"Pune District Football Association Stadium, Pune",in,"18.5204303,73.8567437","Pune, Maharashtra, India"
"Pune FC Training Ground, Pune",in,"18.6832564,74.0300122","Pune, Maharashtra, India"
"Punjab Agricultural University Stadium, Ludhiana",in,"30.9041,75.8065531","Ferozepur Rd, Ludhiana, Punjab 141027, India"
